,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-01 00:00:00,0.0,25.377827840632367,28.03,0,0
2009-12-01 01:00:00,-192.72878076680558,26.0,27.93,0,192
2009-12-01 02:00:00,0.0,20.736369659345293,13.67,0,0
2009-12-01 03:00:00,506.1657596891799,20.0,13.91,506,0
2009-12-01 04:00:00,716.4424715426447,20.0,14.15,716,0
2009-12-01 05:00:00,676.4268685301693,20.0,14.39,676,0
2009-12-01 06:00:00,639.095445545501,20.0,14.63,639,0
2009-12-01 07:00:00,601.8097698411458,20.000000000000007,14.87,601,0
2009-12-01 08:00:00,-2461.52502421691,26.000000000000007,15.11,0,2461
2009-12-01 09:00:00,-10000.0,39.60849776913203,15.35,0,10000
2009-12-01 10:00:00,-10000.0,57.67209539525358,16.93,0,10000
2009-12-01 11:00:00,-10000.0,78.46561248535059,17.66,0,10000
2009-12-01 12:00:00,-10000.0,89.10946054010867,18.0,0,10000
2009-12-01 13:00:00,-10000.0,73.57822286748747,18.4,0,10000
2009-12-01 14:00:00,-10000.0,94.67537368743346,18.58,0,10000
2009-12-01 15:00:00,-10000.0,91.85463767595672,18.31,0,10000
2009-12-01 16:00:00,-10000.0,42.28565316605407,17.68,0,10000
2009-12-01 17:00:00,0.0,25.1418501256949,16.91,0,0
2009-12-01 18:00:00,0.0,22.491497646360898,16.34,0,0
2009-12-01 19:00:00,0.0,20.8438756601621,15.97,0,0
2009-12-01 20:00:00,173.98947819637218,20.0,15.75,173,0
2009-12-01 21:00:00,440.6332922852692,20.0,15.89,440,0
2009-12-01 22:00:00,457.6647966327129,20.0,15.85,457,0
2009-12-01 23:00:00,453.0764055308337,20.0,15.86,453,0
2009-12-02 00:00:00,477.33474382552146,20.0,15.76,477,0
2009-12-02 01:00:00,426.7799365982088,20.0,15.95,426,0
2009-12-02 02:00:00,463.9845305025213,19.999999999999996,15.85,463,0
2009-12-02 03:00:00,538.2064197877464,20.0,15.5,538,0
2009-12-02 04:00:00,538.6575248674503,20.0,15.39,538,0
