,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,4343.021081678442,20.000000000000004,12.0,4343,0
2009-01-01 01:00:00,2089.017570661732,20.0,12.0,2089,0
2009-01-01 02:00:00,2734.792796515086,20.000000000000007,10.2,2734,0
2009-01-01 03:00:00,2609.871954086111,20.0,10.2,2609,0
2009-01-01 04:00:00,2610.1837211933266,20.0,10.2,2610,0
2009-01-01 05:00:00,2611.450464979778,20.0,10.2,2611,0
2009-01-01 06:00:00,2612.7129622198986,20.0,10.2,2612,0
2009-01-01 07:00:00,2613.9625000989668,20.0,10.2,2613,0
2009-01-01 08:00:00,2615.1991276303643,19.999999999999996,10.2,2615,0
2009-01-01 09:00:00,2607.2925703631263,20.000000000000004,10.2,2607,0
2009-01-01 10:00:00,2269.113424914571,20.0,10.2,2269,0
2009-01-01 11:00:00,1464.6835653196079,20.000000000000004,10.2,1464,0
2009-01-01 12:00:00,800.6743170169486,20.0,10.2,800,0
2009-01-01 13:00:00,1040.8860475998597,20.000000000000004,10.2,1040,0
2009-01-01 14:00:00,1148.0393343488317,20.0,10.2,1148,0
2009-01-01 15:00:00,1427.6338685997011,20.0,10.2,1427,0
2009-01-01 16:00:00,0.0,20.334215441156392,10.2,0,0
2009-01-01 17:00:00,0.0,24.98200807106284,10.2,0,0
2009-01-01 18:00:00,0.0,18.133574986741053,10.2,0,0
2009-01-01 19:00:00,0.0,15.214347220254878,10.2,0,0
2009-01-01 20:00:00,0.0,13.91569860651085,10.2,0,0
2009-01-01 21:00:00,0.0,13.238260737812166,10.2,0,0
2009-01-01 22:00:00,0.0,12.879972866672453,10.2,0,0
2009-01-01 23:00:00,0.0,12.688433845901441,10.2,0,0
2009-01-02 00:00:00,5454.836280667836,20.000000000000004,10.2,5454,0
2009-01-02 01:00:00,2623.070373476161,20.0,10.2,2623,0
2009-01-02 02:00:00,2634.310525348589,19.999999999999996,10.2,2634,0
2009-01-02 03:00:00,2635.4312407383854,20.0,10.2,2635,0
2009-01-02 04:00:00,2636.4469632468226,20.0,10.2,2636,0
2009-01-02 05:00:00,2637.4512730265615,20.0,10.2,2637,0
2009-01-02 06:00:00,2638.4451961657705,20.0,10.2,2638,0
2009-01-02 07:00:00,2639.428849211669,20.0,10.2,2639,0
2009-01-02 08:00:00,2640.4023383786684,20.0,10.2,2640,0
2009-01-02 09:00:00,2632.235324730886,19.999999999999993,10.2,2632,0
2009-01-02 10:00:00,2423.4210853331233,20.0,10.2,2423,0
2009-01-02 11:00:00,2029.9054813925,20.0,10.2,2029,0
2009-01-02 12:00:00,1722.1647313345416,20.0,10.2,1722,0
2009-01-02 13:00:00,1199.6315332697839,20.0,10.2,1199,0
2009-01-02 14:00:00,715.5873047457926,20.0,10.2,715,0
2009-01-02 15:00:00,135.5261694242468,20.0,10.2,135,0
2009-01-02 16:00:00,0.0,22.857374511090356,10.2,0,0
2009-01-02 17:00:00,-2523.5348489648877,26.0,10.2,0,2523
2009-01-02 18:00:00,0.0,17.81906570744426,10.2,0,0
2009-01-02 19:00:00,0.0,15.013214390102348,10.2,0,0
2009-01-02 20:00:00,0.0,13.784484493328012,10.2,0,0
2009-01-02 21:00:00,0.0,13.143971625939827,10.2,0,0
2009-01-02 22:00:00,0.0,12.805227090964316,10.2,0,0
2009-01-02 23:00:00,0.0,12.624144037208252,10.2,0,0
2009-01-03 00:00:00,5497.928872381538,19.999999999999996,10.2,5497,0
2009-01-03 01:00:00,2641.082590954162,20.0,10.2,2641,0
2009-01-03 02:00:00,2652.2255734301,20.0,10.2,2652,0
2009-01-03 03:00:00,2653.1620075230753,20.0,10.2,2653,0
2009-01-03 04:00:00,2653.9945299525057,20.000000000000004,10.2,2653,0
2009-01-03 05:00:00,2654.8175245375915,20.0,10.2,2654,0
2009-01-03 06:00:00,2655.6320058914134,20.0,10.2,2655,0
2009-01-03 07:00:00,2656.4380712848974,20.000000000000004,10.2,2656,0
2009-01-03 08:00:00,2657.2358077749436,20.0,10.2,2657,0
2009-01-03 09:00:00,2648.894793561543,19.999999999999996,10.2,2648,0
2009-01-03 10:00:00,2439.905666242334,20.000000000000004,10.2,2439,0
2009-01-03 11:00:00,2055.5867826955264,20.0,10.2,2055,0
2009-01-03 12:00:00,1757.7631690091036,20.0,10.2,1757,0
2009-01-03 13:00:00,1227.0137518509184,20.0,10.2,1227,0
2009-01-03 14:00:00,747.7782472193453,20.0,10.2,747,0
2009-01-03 15:00:00,167.24083002845992,19.999999999999993,10.2,167,0
2009-01-03 16:00:00,0.0,21.888009405819272,10.2,0,0
2009-01-03 17:00:00,2976.854967932079,19.999999999999993,10.2,2976,0
2009-01-03 18:00:00,0.0,17.113427129726634,10.2,0,0
2009-01-03 19:00:00,0.0,14.74305031718989,10.2,0,0
2009-01-03 20:00:00,0.0,13.611322333166193,10.2,0,0
2009-01-03 21:00:00,0.0,13.022739897309432,10.2,0,0
2009-01-03 22:00:00,0.0,12.711436096832617,10.2,0,0
2009-01-03 23:00:00,0.0,12.544983460195152,10.2,0,0
2009-01-04 00:00:00,5550.32064780309,20.0,10.2,5550,0
2009-01-04 01:00:00,2662.6020700303734,19.999999999999996,10.2,2662,0
2009-01-04 02:00:00,2673.632240606122,20.0,10.2,2673,0
2009-01-04 03:00:00,2674.3485077088176,20.0,10.2,2674,0
2009-01-04 04:00:00,2674.962124591605,19.999999999999996,10.2,2674,0
2009-01-04 05:00:00,2675.5684655794457,20.0,10.2,2675,0
2009-01-04 06:00:00,2676.168531870443,20.0,10.2,2676,0
2009-01-04 07:00:00,2676.7623977053404,20.0,10.2,2676,0
2009-01-04 08:00:00,2677.3501272497283,20.0,10.2,2677,0
2009-01-04 09:00:00,2659.666120994964,19.999999999999996,10.2,2659,0
2009-01-04 10:00:00,1076.278065243853,19.999999999999996,10.2,1076,0
2009-01-04 11:00:00,0.0,20.725658711202236,10.2,0,0
2009-01-04 12:00:00,0.0,22.553395967783416,10.2,0,0
2009-01-04 13:00:00,0.0,23.96804783679032,10.2,0,0
2009-01-04 14:00:00,0.0,24.52884177781216,10.2,0,0
2009-01-04 15:00:00,0.0,23.86625354551241,10.2,0,0
2009-01-04 16:00:00,0.0,21.000123048282788,10.2,0,0
2009-01-04 17:00:00,2833.621338024748,19.999999999999993,10.2,2833,0
2009-01-04 18:00:00,0.0,16.997729048991328,10.2,0,0
2009-01-04 19:00:00,0.0,14.676567283083127,10.2,0,0
2009-01-04 20:00:00,0.0,13.570518741423392,10.2,0,0
2009-01-04 21:00:00,0.0,12.992779064327472,10.2,0,0
2009-01-04 22:00:00,0.0,12.687190949694,10.2,0,0
2009-01-04 23:00:00,0.0,12.523806715455535,10.2,0,0
2009-01-05 00:00:00,5564.658187721806,20.0,10.2,5564,0
2009-01-05 01:00:00,2668.6762521762776,20.0,10.2,2668,0
2009-01-05 02:00:00,2679.6729532840645,20.0,10.2,2679,0
2009-01-05 03:00:00,2680.327076694015,20.0,10.2,2680,0
2009-01-05 04:00:00,2680.878920983404,20.0,10.2,2680,0
2009-01-05 05:00:00,2681.4241249988695,20.000000000000004,10.2,2681,0
2009-01-05 06:00:00,2681.9636860057917,20.0,10.2,2681,0
2009-01-05 07:00:00,2682.497671744573,20.0,10.2,2682,0
2009-01-05 08:00:00,2683.026139921155,20.0,10.2,2683,0
2009-01-05 09:00:00,2674.4184319572587,20.0,10.2,2674,0
2009-01-05 10:00:00,2335.532073516738,20.000000000000007,10.2,2335,0
2009-01-05 11:00:00,1532.6180853340222,20.0,10.2,1532,0
2009-01-05 12:00:00,869.0679018269918,20.0,10.2,869,0
2009-01-05 13:00:00,1114.0986110284039,20.0,10.2,1114,0
2009-01-05 14:00:00,1198.8612320335387,20.0,10.2,1198,0
2009-01-05 15:00:00,1491.8745073735004,20.0,10.2,1491,0
2009-01-05 16:00:00,19.654851441412088,20.0,10.2,19,0
2009-01-05 17:00:00,0.0,25.56490421824426,10.2,0,0
2009-01-05 18:00:00,0.0,18.42215922175304,10.2,0,0
2009-01-05 19:00:00,0.0,15.231885506896166,10.2,0,0
2009-01-05 20:00:00,0.0,13.843067293840397,10.2,0,0
2009-01-05 21:00:00,0.0,13.11993088326049,10.2,0,0
2009-01-05 22:00:00,0.0,12.738538047198459,10.2,0,0
2009-01-05 23:00:00,0.0,12.535684974987099,10.2,0,0
2009-01-06 00:00:00,5570.987115829783,20.0,10.2,5570,0
2009-01-06 01:00:00,2679.438592795629,20.0,10.2,2679,0
2009-01-06 02:00:00,2690.3071611743976,20.0,10.2,2690,0
2009-01-06 03:00:00,2690.8512451665665,20.0,10.2,2690,0
2009-01-06 04:00:00,2691.2943439015485,20.0,10.2,2691,0
2009-01-06 05:00:00,2691.7319275495975,20.0,10.2,2691,0
2009-01-06 06:00:00,2692.164980223174,20.0,10.2,2692,0
2009-01-06 07:00:00,2692.593558156745,20.0,10.2,2692,0
2009-01-06 08:00:00,2693.0177076845703,20.0,10.2,2693,0
2009-01-06 09:00:00,2675.171305731473,20.000000000000004,10.2,2675,0
2009-01-06 10:00:00,441.25647621988116,20.0,10.2,441,0
2009-01-06 11:00:00,0.0,23.21953612988867,10.2,0,0
2009-01-06 12:00:00,-348.40668632737203,25.999999999999996,10.2,0,348
2009-01-06 13:00:00,-1803.0734234669944,26.0,10.2,0,1803
2009-01-06 14:00:00,-1482.3659520360404,26.0,10.2,0,1482
2009-01-06 15:00:00,-613.9781057120629,25.999999999999996,10.2,0,613
2009-01-06 16:00:00,0.0,25.07149934380168,10.2,0,0
2009-01-06 17:00:00,642.3375318296042,20.0,10.2,642,0
2009-01-06 18:00:00,0.0,17.219725553874156,10.2,0,0
2009-01-06 19:00:00,0.0,14.685153139124571,10.2,0,0
2009-01-06 20:00:00,0.0,13.566396234192506,10.2,0,0
2009-01-06 21:00:00,0.0,12.988632972456964,10.2,0,0
