,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,1480.7094492966107,20.0,12.0,1480,0
2009-01-01 01:00:00,576.9278999805584,19.999999999999996,12.0,576,0
2009-01-01 02:00:00,972.7008807044372,20.0,10.2,972,0
2009-01-01 03:00:00,895.0887455601511,20.000000000000004,10.2,895,0
2009-01-01 04:00:00,894.8587496833507,20.0,10.2,894,0
2009-01-01 05:00:00,895.3589108356615,19.999999999999993,10.2,895,0
2009-01-01 06:00:00,895.8649505654846,19.999999999999993,10.2,895,0
2009-01-01 07:00:00,896.367942639556,20.0,10.2,896,0
2009-01-01 08:00:00,896.8677914381936,20.0,10.2,896,0
2009-01-01 09:00:00,888.2342340652497,20.000000000000007,10.2,888,0
2009-01-01 10:00:00,548.8139456434836,20.0,10.2,548,0
2009-01-01 11:00:00,0.0,20.532012132127072,10.2,0,0
2009-01-01 12:00:00,0.0,22.107654651263452,10.2,0,0
2009-01-01 13:00:00,0.0,22.514888001420267,10.2,0,0
2009-01-01 14:00:00,0.0,22.669742314779498,10.2,0,0
2009-01-01 15:00:00,0.0,22.359367079220895,10.2,0,0
2009-01-01 16:00:00,0.0,25.704734988181013,10.2,0,0
2009-01-01 17:00:00,-5888.696645536637,25.999999999999996,10.2,0,5888
2009-01-01 18:00:00,0.0,20.749989165535784,10.2,0,0
2009-01-01 19:00:00,0.0,18.736494068946364,10.2,0,0
2009-01-01 20:00:00,0.0,17.75367946213354,10.2,0,0
2009-01-01 21:00:00,0.0,17.10386453446069,10.2,0,0
2009-01-01 22:00:00,0.0,16.667036953450754,10.2,0,0
2009-01-01 23:00:00,0.0,16.372806659676606,10.2,0,0
2009-01-02 00:00:00,2492.1268377558163,20.000000000000004,10.2,2492,0
2009-01-02 01:00:00,890.0101593464118,20.000000000000004,10.2,890,0
2009-01-02 02:00:00,901.6020294266331,19.999999999999996,10.2,901,0
2009-01-02 03:00:00,902.2058650267587,19.999999999999996,10.2,902,0
2009-01-02 04:00:00,902.6709850195715,20.0,10.2,902,0
2009-01-02 05:00:00,903.1314494210393,20.000000000000004,10.2,903,0
2009-01-02 06:00:00,903.5890116488906,20.0,10.2,903,0
2009-01-02 07:00:00,904.0437127844843,20.0,10.2,904,0
2009-01-02 08:00:00,904.495571025753,20.0,10.2,904,0
2009-01-02 09:00:00,895.8142777683108,20.0,10.2,895,0
2009-01-02 10:00:00,686.3755540241214,20.0,10.2,686,0
2009-01-02 11:00:00,296.3191494715924,19.999999999999996,10.2,296,0
2009-01-02 12:00:00,0.0,20.02737446461861,10.2,0,0
2009-01-02 13:00:00,0.0,20.93512649224433,10.2,0,0
2009-01-02 14:00:00,0.0,22.447611869039225,10.2,0,0
2009-01-02 15:00:00,0.0,24.691092871988324,10.2,0,0
2009-01-02 16:00:00,-3336.3717926865825,26.0,10.2,0,3336
2009-01-02 17:00:00,-9125.457115328883,26.0,10.2,0,9125
2009-01-02 18:00:00,0.0,19.332635523085585,10.2,0,0
2009-01-02 19:00:00,0.0,17.74865741206016,10.2,0,0
2009-01-02 20:00:00,0.0,17.080320398605764,10.2,0,0
2009-01-02 21:00:00,0.0,16.641925483110526,10.2,0,0
2009-01-02 22:00:00,0.0,16.34690900269848,10.2,0,0
2009-01-02 23:00:00,0.0,16.14781204694396,10.2,0,0
2009-01-03 00:00:00,2597.1029662754217,20.000000000000004,10.2,2597,0
2009-01-03 01:00:00,895.8909513425625,20.0,10.2,895,0
2009-01-03 02:00:00,908.135987591236,20.0,10.2,908,0
2009-01-03 03:00:00,908.7075082185037,20.0,10.2,908,0
2009-01-03 04:00:00,909.1320891448081,19.999999999999996,10.2,909,0
2009-01-03 05:00:00,909.552158795176,19.999999999999996,10.2,909,0
2009-01-03 06:00:00,909.9695773764074,20.0,10.2,909,0
2009-01-03 07:00:00,910.3843858325375,20.0,10.2,910,0
2009-01-03 08:00:00,910.7966008117581,20.0,10.2,910,0
2009-01-03 09:00:00,902.0758337342429,19.999999999999996,10.2,902,0
2009-01-03 10:00:00,692.594589941194,20.0,10.2,692,0
2009-01-03 11:00:00,311.92006049005084,19.999999999999993,10.2,311,0
2009-01-03 12:00:00,9.40151548745327,20.0,10.2,9,0
2009-01-03 13:00:00,0.0,20.89013040117664,10.2,0,0
2009-01-03 14:00:00,0.0,22.375487352031783,10.2,0,0
2009-01-03 15:00:00,0.0,24.597497372648178,10.2,0,0
2009-01-03 16:00:00,-2242.711336694606,25.999999999999993,10.2,0,2242
2009-01-03 17:00:00,0.0,20.082065848591185,10.2,0,0
2009-01-03 18:00:00,0.0,19.537126283912972,10.2,0,0
2009-01-03 19:00:00,0.0,18.122563839826306,10.2,0,0
2009-01-03 20:00:00,0.0,17.319738175534347,10.2,0,0
2009-01-03 21:00:00,0.0,16.789842152189934,10.2,0,0
2009-01-03 22:00:00,0.0,16.433522963798175,10.2,0,0
2009-01-03 23:00:00,0.0,16.193399667766208,10.2,0,0
2009-01-04 00:00:00,2585.2767673810904,20.0,10.2,2585,0
2009-01-04 01:00:00,904.0164617909361,19.999999999999993,10.2,904,0
2009-01-04 02:00:00,916.070066619829,20.0,10.2,916,0
2009-01-04 03:00:00,916.5902411305515,19.999999999999993,10.2,916,0
2009-01-04 04:00:00,916.9655149453463,20.0,10.2,916,0
2009-01-04 05:00:00,917.3366080197055,20.0,10.2,917,0
2009-01-04 06:00:00,917.7053565332784,20.0,10.2,917,0
2009-01-04 07:00:00,918.0717992215627,20.0,10.2,918,0
2009-01-04 08:00:00,918.4359508262545,20.0,10.2,918,0
2009-01-04 09:00:00,900.5313135076983,20.0,10.2,900,0
2009-01-04 10:00:00,0.0,21.709331425830197,10.2,0,0
2009-01-04 11:00:00,0.0,25.902889778121256,10.2,0,0
2009-01-04 12:00:00,-3157.1885750564334,25.999999999999993,10.2,0,3157
2009-01-04 13:00:00,-3403.1262208725298,26.0,10.2,0,3403
2009-01-04 14:00:00,-3124.221282356357,26.0,10.2,0,3124
2009-01-04 15:00:00,-2180.6636410053984,26.000000000000007,10.2,0,2180
2009-01-04 16:00:00,0.0,25.694894402790933,10.2,0,0
2009-01-04 17:00:00,0.0,21.013585455882605,10.2,0,0
2009-01-04 18:00:00,0.0,20.00753563314722,10.2,0,0
2009-01-04 19:00:00,0.0,18.443753059587316,10.2,0,0
2009-01-04 20:00:00,0.0,17.53544911155485,10.2,0,0
2009-01-04 21:00:00,0.0,16.931327677880997,10.2,0,0
2009-01-04 22:00:00,0.0,16.525198053181985,10.2,0,0
2009-01-04 23:00:00,0.0,16.251698065960326,10.2,0,0
2009-01-05 00:00:00,2561.865323714541,20.0,10.2,2561,0
2009-01-05 01:00:00,906.2308203955982,19.999999999999993,10.2,906,0
2009-01-05 02:00:00,918.0914758185008,20.000000000000007,10.2,918,0
2009-01-05 03:00:00,918.5967957293705,20.0,10.2,918,0
2009-01-05 04:00:00,918.9594954103391,20.000000000000004,10.2,918,0
2009-01-05 05:00:00,919.3181213044621,20.0,10.2,919,0
2009-01-05 06:00:00,919.6744809623829,20.0,10.2,919,0
2009-01-05 07:00:00,920.0286122579179,20.0,10.2,920,0
2009-01-05 08:00:00,920.3805294434201,20.0,10.2,920,0
2009-01-05 09:00:00,911.5995866623683,20.0,10.2,911,0
2009-01-05 10:00:00,572.0165150933841,20.0,10.2,572,0
2009-01-05 11:00:00,0.0,20.49089246572356,10.2,0,0
2009-01-05 12:00:00,0.0,22.032068604781138,10.2,0,0
2009-01-05 13:00:00,0.0,22.409344199147267,10.2,0,0
2009-01-05 14:00:00,0.0,22.580684992846408,10.2,0,0
2009-01-05 15:00:00,0.0,22.25244216707729,10.2,0,0
2009-01-05 16:00:00,0.0,25.15272446089952,10.2,0,0
2009-01-05 17:00:00,-6476.00073278718,26.0,10.2,0,6476
2009-01-05 18:00:00,0.0,20.75887918665184,10.2,0,0
2009-01-05 19:00:00,0.0,18.628016105388404,10.2,0,0
2009-01-05 20:00:00,0.0,17.645629824562167,10.2,0,0
2009-01-05 21:00:00,0.0,16.997808624824906,10.2,0,0
2009-01-05 22:00:00,0.0,16.562542383728108,10.2,0,0
2009-01-05 23:00:00,0.0,16.269552925999008,10.2,0,0
2009-01-06 00:00:00,2558.718794203444,20.000000000000004,10.2,2558,0
2009-01-06 01:00:00,910.8786637870602,19.999999999999993,10.2,910,0
2009-01-06 02:00:00,922.6550494635345,20.0,10.2,922,0
2009-01-06 03:00:00,923.1311535181268,20.0,10.2,923,0
