,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,7607.964032489291,20.0,12.0,7607,0
2009-01-01 01:00:00,5059.150146153267,20.0,12.0,5059,0
2009-01-01 02:00:00,6345.34264422965,20.0,10.2,6345,0
2009-01-01 03:00:00,6258.321690453038,20.0,10.2,6258,0
2009-01-01 04:00:00,6274.115732647244,20.0,10.2,6274,0
2009-01-01 05:00:00,6290.060840682386,19.999999999999993,10.2,6290,0
2009-01-01 06:00:00,6305.721909132291,19.999999999999996,10.2,6305,0
2009-01-01 07:00:00,6321.100406744601,20.0,10.2,6321,0
2009-01-01 08:00:00,6336.202396570562,20.0,10.2,6336,0
2009-01-01 09:00:00,6313.618966865247,20.000000000000007,10.2,6313,0
2009-01-01 10:00:00,4925.870814145907,19.999999999999996,10.2,4925,0
2009-01-01 11:00:00,703.3298826012665,20.0,10.2,703,0
2009-01-01 12:00:00,0.0,22.95025843374861,10.2,0,0
2009-01-01 13:00:00,0.0,22.74273361325548,10.2,0,0
2009-01-01 14:00:00,0.0,22.364190988838946,10.2,0,0
2009-01-01 15:00:00,0.0,21.319455752303355,10.2,0,0
2009-01-01 16:00:00,-5017.833353925737,26.0,10.2,0,5017
2009-01-01 17:00:00,-10000.0,43.61578987047362,10.2,0,10000
2009-01-01 18:00:00,0.0,23.771892748587142,10.2,0,0
2009-01-01 19:00:00,0.0,15.941816404582875,10.2,0,0
2009-01-01 20:00:00,0.0,13.547868943828316,10.2,0,0
2009-01-01 21:00:00,0.0,12.742630613781536,10.2,0,0
2009-01-01 22:00:00,0.0,12.461270715491569,10.2,0,0
2009-01-01 23:00:00,0.0,12.354586694507653,10.2,0,0
2009-01-02 00:00:00,9731.556592883086,20.0,10.2,9731,0
2009-01-02 01:00:00,6471.635892589687,20.000000000000007,10.2,6471,0
2009-01-02 02:00:00,6498.808841297605,20.0,10.2,6498,0
2009-01-02 03:00:00,6510.521143782108,19.999999999999993,10.2,6510,0
2009-01-02 04:00:00,6521.877542530002,20.0,10.2,6521,0
2009-01-02 05:00:00,6533.045683551763,20.0,10.2,6533,0
2009-01-02 06:00:00,6544.031208004768,20.0,10.2,6544,0
2009-01-02 07:00:00,6554.837913660981,20.000000000000004,10.2,6554,0
2009-01-02 08:00:00,6565.469493114851,20.0,10.2,6565,0
2009-01-02 09:00:00,6538.51444853162,20.000000000000004,10.2,6538,0
2009-01-02 10:00:00,5681.065294507607,19.999999999999993,10.2,5681,0
2009-01-02 11:00:00,3941.3772888438853,19.999999999999993,10.2,3941,0
2009-01-02 12:00:00,2303.7983103565684,19.999999999999996,10.2,2303,0
2009-01-02 13:00:00,0.0,20.458352264209594,10.2,0,0
2009-01-02 14:00:00,0.0,23.198417268904638,10.2,0,0
2009-01-02 15:00:00,-2231.24939337096,25.999999999999996,10.2,0,2231
2009-01-02 16:00:00,-10000.0,34.3885791346019,10.2,0,10000
2009-01-02 17:00:00,-10000.0,60.55539922063665,10.2,0,10000
2009-01-02 18:00:00,-1594.6652182700868,26.999999999999993,10.2,0,1594
2009-01-02 19:00:00,0.0,16.861814101242658,10.2,0,0
2009-01-02 20:00:00,0.0,13.721895614722705,10.2,0,0
2009-01-02 21:00:00,0.0,12.670729813581435,10.2,0,0
2009-01-02 22:00:00,0.0,12.30966714298285,10.2,0,0
2009-01-02 23:00:00,0.0,12.17860787679344,10.2,0,0
2009-01-03 00:00:00,9961.722095404082,20.0,10.2,9961,0
2009-01-03 01:00:00,6623.726016676585,20.0,10.2,6623,0
2009-01-03 02:00:00,6648.592570497154,19.999999999999993,10.2,6648,0
2009-01-03 03:00:00,6657.704336937357,20.0,10.2,6657,0
2009-01-03 04:00:00,6666.511845354226,20.0,10.2,6666,0
2009-01-03 05:00:00,6675.1852276765785,20.000000000000004,10.2,6675,0
2009-01-03 06:00:00,6683.728919451386,19.999999999999996,10.2,6683,0
2009-01-03 07:00:00,6692.145501908771,20.0,10.2,6692,0
2009-01-03 08:00:00,6700.437479376058,20.0,10.2,6700,0
2009-01-03 09:00:00,6671.191810933009,20.0,10.2,6671,0
2009-01-03 10:00:00,5811.484122744355,20.000000000000004,10.2,5811,0
2009-01-03 11:00:00,4108.431628295926,20.0,10.2,4108,0
2009-01-03 12:00:00,2528.8607356692432,20.0,10.2,2528,0
2009-01-03 13:00:00,0.0,20.310208716988292,10.2,0,0
2009-01-03 14:00:00,0.0,22.960554654451663,10.2,0,0
2009-01-03 15:00:00,-1868.9337665218275,26.000000000000007,10.2,0,1868
