,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,2089.6896298254005,20.000000000000007,12.0,2089,0
2009-01-01 01:00:00,1134.2267244207496,20.0,12.0,1134,0
2009-01-01 02:00:00,2118.58600299184,20.000000000000007,10.2,2118,0
2009-01-01 03:00:00,2000.4486390989125,20.000000000000004,10.2,2000,0
2009-01-01 04:00:00,2036.1739524628833,20.0,10.2,2036,0
2009-01-01 05:00:00,2073.470258560237,19.999999999999996,10.2,2073,0
2009-01-01 06:00:00,2110.1757991639483,20.0,10.2,2110,0
2009-01-01 07:00:00,2146.2634807405684,19.999999999999996,10.2,2146,0
2009-01-01 08:00:00,2181.745272172358,20.000000000000004,10.2,2181,0
2009-01-01 09:00:00,2203.9275845015727,20.0,10.2,2203,0
2009-01-01 10:00:00,1763.0640430441795,20.0,10.2,1763,0
2009-01-01 11:00:00,633.0247936699457,20.0,10.2,633,0
2009-01-01 12:00:00,0.0,20.11960667695646,10.2,0,0
2009-01-01 13:00:00,0.0,20.05495024251237,10.2,0,0
2009-01-01 14:00:00,119.33750907659243,20.0,10.2,119,0
2009-01-01 15:00:00,552.7558640811515,20.0,10.2,552,0
2009-01-01 16:00:00,0.0,20.70935385500267,10.2,0,0
2009-01-01 17:00:00,0.0,23.064849973171242,10.2,0,0
2009-01-01 18:00:00,0.0,19.806117258454186,10.2,0,0
2009-01-01 19:00:00,0.0,18.26955588525901,10.2,0,0
2009-01-01 20:00:00,0.0,17.583262272023752,10.2,0,0
2009-01-01 21:00:00,0.0,17.224337465630207,10.2,0,0
2009-01-01 22:00:00,0.0,17.022444126866255,10.2,0,0
2009-01-01 23:00:00,0.0,16.897832182657552,10.2,0,0
2009-01-02 00:00:00,4645.770394397732,20.0,10.2,4645,0
2009-01-02 01:00:00,2417.8660258952045,20.0,10.2,2417,0
2009-01-02 02:00:00,2465.121906389002,20.0,10.2,2465,0
2009-01-02 03:00:00,2495.1551050459234,20.0,10.2,2495,0
2009-01-02 04:00:00,2524.410292034391,20.0,10.2,2524,0
2009-01-02 05:00:00,2553.2003132041646,20.0,10.2,2553,0
2009-01-02 06:00:00,2581.539653822973,20.0,10.2,2581,0
2009-01-02 07:00:00,2609.437085061365,20.0,10.2,2609,0
2009-01-02 08:00:00,2636.9010797715177,20.0,10.2,2636,0
2009-01-02 09:00:00,2651.2338597924204,19.999999999999993,10.2,2651,0
2009-01-02 10:00:00,2384.1113771606624,20.0,10.2,2384,0
2009-01-02 11:00:00,1835.8560467912512,20.0,10.2,1835,0
2009-01-02 12:00:00,1391.7487583768211,20.0,10.2,1391,0
2009-01-02 13:00:00,688.3870078709592,20.0,10.2,688,0
2009-01-02 14:00:00,81.15256365459821,20.0,10.2,81,0
2009-01-02 15:00:00,0.0,20.35478148588068,10.2,0,0
2009-01-02 16:00:00,0.0,21.92773828832184,10.2,0,0
2009-01-02 17:00:00,0.0,24.92497945156403,10.2,0,0
2009-01-02 18:00:00,0.0,20.161004327066603,10.2,0,0
2009-01-02 19:00:00,0.0,18.169804527071186,10.2,0,0
2009-01-02 20:00:00,0.0,17.271585292235805,10.2,0,0
2009-01-02 21:00:00,0.0,16.81262124896785,10.2,0,0
2009-01-02 22:00:00,0.0,16.565306903724426,10.2,0,0
2009-01-02 23:00:00,0.0,16.421990461062627,10.2,0,0
2009-01-03 00:00:00,5347.341752243438,20.000000000000004,10.2,5347,0
2009-01-03 01:00:00,2767.2313127704247,20.0,10.2,2767,0
2009-01-03 02:00:00,2811.45597829095,20.0,10.2,2811,0
2009-01-03 03:00:00,2836.0006424868902,20.0,10.2,2836,0
2009-01-03 04:00:00,2859.8284553157296,20.0,10.2,2859,0
2009-01-03 05:00:00,2883.296365350055,20.0,10.2,2883,0
2009-01-03 06:00:00,2906.4172889853126,20.0,10.2,2906,0
2009-01-03 07:00:00,2929.1976437846274,20.000000000000004,10.2,2929,0
2009-01-03 08:00:00,2951.6435926283,20.000000000000004,10.2,2951,0
2009-01-03 09:00:00,2961.054978843601,19.999999999999996,10.2,2961,0
2009-01-03 10:00:00,2689.1003857155515,20.0,10.2,2689,0
2009-01-03 11:00:00,2149.283103628394,20.0,10.2,2149,0
2009-01-03 12:00:00,1714.0689215728755,20.0,10.2,1714,0
2009-01-03 13:00:00,997.5626584647117,20.000000000000004,10.2,997,0
2009-01-03 14:00:00,388.04114622249995,20.0,10.2,388,0
2009-01-03 15:00:00,0.0,20.149032600633532,10.2,0,0
2009-01-03 16:00:00,0.0,21.206189042969758,10.2,0,0
2009-01-03 17:00:00,4193.749025851461,19.999999999999996,10.2,4193,0
2009-01-03 18:00:00,0.0,18.572128466375535,10.2,0,0
2009-01-03 19:00:00,0.0,17.323731516909955,10.2,0,0
2009-01-03 20:00:00,0.0,16.717018782017938,10.2,0,0
2009-01-03 21:00:00,0.0,16.40250356147278,10.2,0,0
2009-01-03 22:00:00,0.0,16.22786231958544,10.2,0,0
2009-01-03 23:00:00,0.0,16.121997757942328,10.2,0,0
2009-01-04 00:00:00,5755.084087759379,20.0,10.2,5755,0
2009-01-04 01:00:00,2953.893467435944,19.999999999999993,10.2,2953,0
2009-01-04 02:00:00,2996.881550653916,20.0,10.2,2996,0
2009-01-04 03:00:00,3018.6198063433476,20.0,10.2,3018,0
2009-01-04 04:00:00,3039.66455818954,20.0,10.2,3039,0
2009-01-04 05:00:00,3060.401032323665,20.0,10.2,3060,0
2009-01-04 06:00:00,3080.841528211237,19.999999999999996,10.2,3080,0
2009-01-04 07:00:00,3100.9913403771534,20.0,10.2,3100,0
2009-01-04 08:00:00,3120.8555267090546,20.0,10.2,3120,0
2009-01-04 09:00:00,3115.0175076194787,20.0,10.2,3115,0
2009-01-04 10:00:00,643.28364452789,20.0,10.2,643,0
2009-01-04 11:00:00,0.0,20.930546562968104,10.2,0,0
2009-01-04 12:00:00,0.0,21.944968707364147,10.2,0,0
2009-01-04 13:00:00,0.0,22.836726539612975,10.2,0,0
2009-01-04 14:00:00,0.0,23.211057695432856,10.2,0,0
2009-01-04 15:00:00,0.0,22.84345568614618,10.2,0,0
2009-01-04 16:00:00,0.0,21.164245968168636,10.2,0,0
2009-01-04 17:00:00,3725.151064960505,20.0,10.2,3725,0
2009-01-04 18:00:00,0.0,18.615940538594046,10.2,0,0
2009-01-04 19:00:00,0.0,17.42533609380864,10.2,0,0
2009-01-04 20:00:00,0.0,16.85088243610167,10.2,0,0
2009-01-04 21:00:00,0.0,16.549681284573406,10.2,0,0
2009-01-04 22:00:00,0.0,16.380479171528084,10.2,0,0
2009-01-04 23:00:00,0.0,16.276245121391394,10.2,0,0
2009-01-05 00:00:00,5530.6606770346225,20.0,10.2,5530,0
2009-01-05 01:00:00,2843.4430478843215,20.0,10.2,2843,0
2009-01-05 02:00:00,2887.2472001201336,20.0,10.2,2887,0
2009-01-05 03:00:00,2910.6039792348524,20.0,10.2,2910,0
2009-01-05 04:00:00,2933.2527178579203,20.0,10.2,2933,0
2009-01-05 05:00:00,2955.5641852351855,19.999999999999996,10.2,2955,0
2009-01-05 06:00:00,2977.551041117387,20.0,10.2,2977,0
2009-01-05 07:00:00,2999.2191989378653,20.0,10.2,2999,0
2009-01-05 08:00:00,3020.5743253337214,20.0,10.2,3020,0
2009-01-05 09:00:00,3028.915370162821,20.0,10.2,3028,0
2009-01-05 10:00:00,2574.463618489582,20.0,10.2,2574,0
2009-01-05 11:00:00,1432.409782465026,19.999999999999993,10.2,1432,0
2009-01-05 12:00:00,612.1352518088094,20.0,10.2,612,0
2009-01-05 13:00:00,788.3421906881407,20.0,10.2,788,0
2009-01-05 14:00:00,899.1838375316538,20.0,10.2,899,0
2009-01-05 15:00:00,1294.0180015534838,20.000000000000004,10.2,1294,0
2009-01-05 16:00:00,0.0,20.07313640250087,10.2,0,0
2009-01-05 17:00:00,0.0,22.64832081516633,10.2,0,0
2009-01-05 18:00:00,0.0,19.155633197238643,10.2,0,0
2009-01-05 19:00:00,0.0,17.444485721541717,10.2,0,0
2009-01-05 20:00:00,0.0,16.697234480942612,10.2,0,0
2009-01-05 21:00:00,0.0,16.315413035654426,10.2,0,0
2009-01-05 22:00:00,0.0,16.108720924836966,10.2,0,0
2009-01-05 23:00:00,0.0,15.988063662300823,10.2,0,0
2009-01-06 00:00:00,5959.472542344304,20.000000000000007,10.2,5959,0
2009-01-06 01:00:00,3059.1814025913877,20.0,10.2,3059,0
2009-01-06 02:00:00,3101.398593139159,20.0,10.2,3101,0
2009-01-06 03:00:00,3121.670161550074,19.999999999999996,10.2,3121,0
2009-01-06 04:00:00,3141.260501095518,20.000000000000007,10.2,3141,0
2009-01-06 05:00:00,3160.5673973485164,20.0,10.2,3160,0
2009-01-06 06:00:00,3179.6028670033393,20.0,10.2,3179,0
2009-01-06 07:00:00,3198.371696656963,20.0,10.2,3198,0
2009-01-06 08:00:00,3216.878444079898,19.999999999999996,10.2,3216,0
2009-01-06 09:00:00,3209.705044028613,20.0,10.2,3209,0
2009-01-06 10:00:00,0.0,20.216172756831213,10.2,0,0
2009-01-06 11:00:00,0.0,22.67021785625989,10.2,0,0
2009-01-06 12:00:00,0.0,24.18892779579118,10.2,0,0
2009-01-06 13:00:00,0.0,25.32475619076444,10.2,0,0
2009-01-06 14:00:00,0.0,25.679134290293618,10.2,0,0
2009-01-06 15:00:00,0.0,25.17930537336429,10.2,0,0
2009-01-06 16:00:00,0.0,23.813454214299785,10.2,0,0
2009-01-06 17:00:00,1392.0605678243437,20.0,10.2,1392,0
2009-01-06 18:00:00,0.0,18.534951613828962,10.2,0,0
2009-01-06 19:00:00,0.0,17.4226049734345,10.2,0,0
2009-01-06 20:00:00,0.0,16.868486073368416,10.2,0,0
2009-01-06 21:00:00,0.0,16.57954857426239,10.2,0,0
2009-01-06 22:00:00,0.0,16.41604094654408,10.2,0,0
2009-01-06 23:00:00,0.0,16.31422022969579,10.2,0,0
2009-01-07 00:00:00,5474.1485314006495,20.0,10.2,5474,0
2009-01-07 01:00:00,2815.175311738274,19.999999999999993,10.2,2815,0
2009-01-07 02:00:00,2859.3476049136084,20.0,10.2,2859,0
2009-01-07 03:00:00,2883.2639088747223,20.0,10.2,2883,0
2009-01-07 04:00:00,2906.4627978828235,20.000000000000004,10.2,2906,0
2009-01-07 05:00:00,2929.311657175704,20.0,10.2,2929,0
2009-01-07 06:00:00,2951.823401920237,20.0,10.2,2951,0
2009-01-07 07:00:00,2974.004259919905,20.0,10.2,2974,0
2009-01-07 08:00:00,2995.8602051572534,20.0,10.2,2995,0
2009-01-07 09:00:00,2979.249185176781,20.0,10.2,2979,0
2009-01-07 10:00:00,0.0,21.641739613505067,10.2,0,0
2009-01-07 11:00:00,0.0,24.882089957447512,10.2,0,0
2009-01-07 12:00:00,-78.80185693592642,26.0,10.2,0,78
2009-01-07 13:00:00,-1432.2088356058923,26.0,10.2,0,1432
2009-01-07 14:00:00,-1057.0669236124875,25.999999999999993,10.2,0,1057
2009-01-07 15:00:00,-14.571764567957239,26.000000000000004,10.2,0,14
2009-01-07 16:00:00,0.0,24.86846755847401,10.2,0,0
2009-01-07 17:00:00,0.0,21.197410710598287,10.2,0,0
2009-01-07 18:00:00,0.0,19.18556164181736,10.2,0,0
2009-01-07 19:00:00,0.0,17.915365940507115,10.2,0,0
2009-01-07 20:00:00,0.0,17.305560501240436,10.2,0,0
2009-01-07 21:00:00,0.0,16.987512080193895,10.2,0,0
2009-01-07 22:00:00,0.0,16.80735052804783,10.2,0,0
2009-01-07 23:00:00,0.0,16.695005868759115,10.2,0,0
2009-01-08 00:00:00,4930.232985003944,20.0,10.2,4930,0
2009-01-08 01:00:00,2552.240824240518,20.0,10.2,2552,0
2009-01-08 02:00:00,2598.1372326112646,20.000000000000007,10.2,2598,0
2009-01-08 03:00:00,2625.768222011855,20.0,10.2,2625,0
2009-01-08 04:00:00,2652.653783832436,20.0,10.2,2652,0
2009-01-08 05:00:00,2679.1253724342687,19.999999999999996,10.2,2679,0
2009-01-08 06:00:00,2705.196583493809,20.0,10.2,2705,0
2009-01-08 07:00:00,2730.874969918072,20.0,10.2,2730,0
2009-01-08 08:00:00,2756.167811212164,20.0,10.2,2756,0
2009-01-08 09:00:00,2742.9332415721788,20.0,10.2,2742,0
2009-01-08 10:00:00,0.0,21.753786188179497,10.2,0,0
2009-01-08 11:00:00,0.0,25.036002725246902,10.2,0,0
2009-01-08 12:00:00,-324.54419627194767,25.999999999999993,10.2,0,324
2009-01-08 13:00:00,-1584.4763499269914,26.0,10.2,0,1584
2009-01-08 14:00:00,-1194.5515067098463,25.999999999999993,10.2,0,1194
2009-01-08 15:00:00,-182.5509324385588,25.999999999999996,10.2,0,182
2009-01-08 16:00:00,0.0,24.997554453823398,10.2,0,0
2009-01-08 17:00:00,0.0,21.34420346548795,10.2,0,0
2009-01-08 18:00:00,0.0,19.38715203933593,10.2,0,0
2009-01-08 19:00:00,0.0,18.16914652251226,10.2,0,0
2009-01-08 20:00:00,0.0,17.56925447897796,10.2,0,0
2009-01-08 21:00:00,0.0,17.255690526846166,10.2,0,0
2009-01-08 22:00:00,0.0,17.076180596051586,10.2,0,0
2009-01-08 23:00:00,0.0,16.96259865969929,10.2,0,0
2009-01-09 00:00:00,4543.46448363682,20.0,10.2,4543,0
2009-01-09 01:00:00,2362.8433970821143,20.0,10.2,2362,0
2009-01-09 02:00:00,2409.8374970692457,20.0,10.2,2409,0
2009-01-09 03:00:00,2439.970022834588,20.000000000000004,10.2,2439,0
