,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,1645.5617231147623,20.0,12.0,1645,0
2009-01-01 01:00:00,1659.32165901307,19.999999999999993,12.0,1659,0
2009-01-01 02:00:00,2363.5680809043815,20.0,10.2,2363,0
2009-01-01 03:00:00,2328.107155639157,20.000000000000007,10.2,2328,0
2009-01-01 04:00:00,2345.3760257572026,20.0,10.2,2345,0
2009-01-01 05:00:00,2362.6818125089176,20.0,10.2,2362,0
2009-01-01 06:00:00,2379.71988915624,20.0,10.2,2379,0
2009-01-01 07:00:00,2396.492090537913,20.0,10.2,2396,0
2009-01-01 08:00:00,2413.003582158979,20.0,10.2,2413,0
2009-01-01 09:00:00,2387.7911296597567,20.0,10.2,2387,0
2009-01-01 10:00:00,849.5969462874197,19.999999999999993,10.2,849,0
2009-01-01 11:00:00,0.0,24.23919984470223,10.2,0,0
2009-01-01 12:00:00,-5033.438053304728,26.0,10.2,0,5033
2009-01-01 13:00:00,-4010.251552405183,26.0,10.2,0,4010
2009-01-01 14:00:00,-3586.4200350447977,26.0,10.2,0,3586
2009-01-01 15:00:00,-2305.100538348868,26.0,10.2,0,2305
2009-01-01 16:00:00,-10000.0,31.564991705105975,10.2,0,10000
2009-01-01 17:00:00,-10000.0,65.17823111102666,10.2,0,10000
2009-01-01 18:00:00,-10000.0,27.32317676833597,10.2,0,10000
2009-01-01 19:00:00,0.0,20.00105871945599,10.2,0,0
2009-01-01 20:00:00,2508.4238501801524,20.0,10.2,2508,0
2009-01-01 21:00:00,2499.442827797981,20.0,10.2,2499,0
2009-01-01 22:00:00,2513.72449903936,20.000000000000004,10.2,2513,0
2009-01-01 23:00:00,2528.058957315851,20.0,10.2,2528,0
2009-01-02 00:00:00,2542.187115972416,20.0,10.2,2542,0
2009-01-02 01:00:00,2556.1099511088946,20.0,10.2,2556,0
2009-01-02 02:00:00,2569.8312822612625,20.0,10.2,2569,0
2009-01-02 03:00:00,2583.354879359682,20.0,10.2,2583,0
2009-01-02 04:00:00,2596.684432005634,20.0,10.2,2596,0
2009-01-02 05:00:00,2609.823550926015,20.0,10.2,2609,0
2009-01-02 06:00:00,2622.7757697480824,20.0,10.2,2622,0
2009-01-02 07:00:00,2635.5445467376744,20.0,10.2,2635,0
2009-01-02 08:00:00,2648.133266497425,20.0,10.2,2648,0
2009-01-02 09:00:00,2619.0766711421006,20.0,10.2,2619,0
2009-01-02 10:00:00,1669.6011639739684,20.0,10.2,1669,0
2009-01-02 11:00:00,0.0,20.283317566321266,10.2,0,0
2009-01-02 12:00:00,0.0,22.40994304602446,10.2,0,0
2009-01-02 13:00:00,-798.1803812830976,26.000000000000004,10.2,0,798
2009-01-02 14:00:00,-5870.168074263303,26.0,10.2,0,5870
2009-01-02 15:00:00,-10000.0,27.112613810686916,10.2,0,10000
2009-01-02 16:00:00,-10000.0,48.81338345272371,10.2,0,10000
2009-01-02 17:00:00,-10000.0,94.76622219267173,10.2,0,10000
2009-01-02 18:00:00,-10000.0,38.348308017673645,10.2,0,10000
2009-01-02 19:00:00,0.0,24.55705673271094,10.2,0,0
2009-01-02 20:00:00,893.9299204537722,20.0,10.2,893,0
2009-01-02 21:00:00,2682.423019915971,20.000000000000004,10.2,2682,0
2009-01-02 22:00:00,2683.6151691791674,20.0,10.2,2683,0
2009-01-02 23:00:00,2695.2763976429956,20.0,10.2,2695,0
2009-01-03 00:00:00,2706.8969263263616,20.000000000000004,10.2,2706,0
2009-01-03 01:00:00,2718.361336368636,20.0,10.2,2718,0
2009-01-03 02:00:00,2729.67111554013,20.000000000000004,10.2,2729,0
2009-01-03 03:00:00,2740.8290089002535,19.999999999999996,10.2,2740,0
2009-01-03 04:00:00,2751.8377184687943,20.0,10.2,2751,0
2009-01-03 05:00:00,2762.699889869548,19.999999999999996,10.2,2762,0
2009-01-03 06:00:00,2773.4181134316846,20.0,10.2,2773,0
2009-01-03 07:00:00,2783.9949254250955,20.0,10.2,2783,0
2009-01-03 08:00:00,2794.4328092692654,20.0,10.2,2794,0
2009-01-03 09:00:00,2763.2652020070823,19.999999999999996,10.2,2763,0
2009-01-03 10:00:00,1811.7001878816648,20.0,10.2,1811,0
2009-01-03 11:00:00,0.0,20.081402023405623,10.2,0,0
2009-01-03 12:00:00,0.0,22.047596277094037,10.2,0,0
2009-01-03 13:00:00,-447.67495185253455,26.0,10.2,0,447
2009-01-03 14:00:00,-5607.7122680936955,25.999999999999996,10.2,0,5607
2009-01-03 15:00:00,-10000.0,26.7929296601351,10.2,0,10000
2009-01-03 16:00:00,-10000.0,41.767082707223985,10.2,0,10000
2009-01-03 17:00:00,0.0,21.249383958014704,10.2,0,0
2009-01-03 18:00:00,0.0,20.30212677007203,10.2,0,0
2009-01-03 19:00:00,2776.547866460602,20.0,10.2,2776,0
2009-01-03 20:00:00,2816.519915683757,20.000000000000004,10.2,2816,0
2009-01-03 21:00:00,2817.9802478683505,20.0,10.2,2817,0
2009-01-03 22:00:00,2827.5778948203865,20.000000000000007,10.2,2827,0
2009-01-03 23:00:00,2837.138740120929,20.000000000000004,10.2,2837,0
2009-01-04 00:00:00,2846.5833159221447,20.0,10.2,2846,0
2009-01-04 01:00:00,2855.912647234511,19.999999999999996,10.2,2855,0
2009-01-04 02:00:00,2865.128626041421,20.0,10.2,2865,0
2009-01-04 03:00:00,2874.2331161377456,20.0,10.2,2874,0
2009-01-04 04:00:00,2883.2279438927467,20.000000000000007,10.2,2883,0
2009-01-04 05:00:00,2892.1148989648004,19.999999999999993,10.2,2892,0
2009-01-04 06:00:00,2900.895735109586,19.999999999999996,10.2,2900,0
2009-01-04 07:00:00,2909.572170970984,20.000000000000004,10.2,2909,0
2009-01-04 08:00:00,2918.1458908539967,20.0,10.2,2918,0
2009-01-04 09:00:00,2843.649705799354,19.999999999999993,10.2,2843,0
2009-01-04 10:00:00,-2549.889816221885,25.999999999999996,10.2,0,2549
2009-01-04 11:00:00,-10000.0,33.98403798920858,10.2,0,10000
2009-01-04 12:00:00,-10000.0,48.22970779792817,10.2,0,10000
2009-01-04 13:00:00,-10000.0,57.20333896577206,10.2,0,10000
2009-01-04 14:00:00,-10000.0,59.81991179229024,10.2,0,10000
2009-01-04 15:00:00,-10000.0,55.08124006037584,10.2,0,10000
2009-01-04 16:00:00,-10000.0,37.79357299936588,10.2,0,10000
2009-01-04 17:00:00,0.0,21.6165262808237,10.2,0,0
2009-01-04 18:00:00,0.0,20.0110975425349,10.2,0,0
2009-01-04 19:00:00,2907.076204871651,20.0,10.2,2907,0
2009-01-04 20:00:00,2810.4793053873386,19.999999999999996,10.2,2810,0
2009-01-04 21:00:00,2815.6587533175534,19.999999999999996,10.2,2815,0
