,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,920.0407035172358,20.0,12.0,920,0
2009-01-01 01:00:00,528.5623978812412,20.000000000000004,12.0,528,0
2009-01-01 02:00:00,1443.197100487473,20.0,10.2,1443,0
2009-01-01 03:00:00,1333.0128138670595,20.0,10.2,1333,0
2009-01-01 04:00:00,1364.5929548687684,20.0,10.2,1364,0
2009-01-01 05:00:00,1397.8831634705139,20.0,10.2,1397,0
2009-01-01 06:00:00,1430.707097362226,20.0,10.2,1430,0
2009-01-01 07:00:00,1463.0328845812594,20.0,10.2,1463,0
2009-01-01 08:00:00,1494.868979371034,19.999999999999996,10.2,1494,0
2009-01-01 09:00:00,1513.1072003976794,20.0,10.2,1513,0
2009-01-01 10:00:00,1053.4617377208742,20.0,10.2,1053,0
2009-01-01 11:00:00,0.0,20.086442147882998,10.2,0,0
2009-01-01 12:00:00,0.0,20.743271431827324,10.2,0,0
2009-01-01 13:00:00,0.0,20.945560827981183,10.2,0,0
2009-01-01 14:00:00,0.0,20.932755555426056,10.2,0,0
2009-01-01 15:00:00,0.0,20.627080239600083,10.2,0,0
2009-01-01 16:00:00,0.0,21.67663386521655,10.2,0,0
2009-01-01 17:00:00,0.0,24.45443932977139,10.2,0,0
2009-01-01 18:00:00,0.0,20.980348252077512,10.2,0,0
2009-01-01 19:00:00,0.0,19.272899399312454,10.2,0,0
2009-01-01 20:00:00,0.0,18.478740630464475,10.2,0,0
2009-01-01 21:00:00,0.0,18.052270752927733,10.2,0,0
2009-01-01 22:00:00,0.0,17.80984635621764,10.2,0,0
2009-01-01 23:00:00,0.0,17.661808503361605,10.2,0,0
2009-01-02 00:00:00,3326.0887763606934,20.0,10.2,3326,0
2009-01-02 01:00:00,1689.027113738357,20.0,10.2,1689,0
2009-01-02 02:00:00,1730.8284145390764,19.999999999999996,10.2,1730,0
2009-01-02 03:00:00,1758.589940478175,20.0,10.2,1758,0
2009-01-02 04:00:00,1785.6930762579782,20.0,10.2,1785,0
2009-01-02 05:00:00,1812.4027172072113,20.0,10.2,1812,0
2009-01-02 06:00:00,1838.7306122587593,20.0,10.2,1838,0
2009-01-02 07:00:00,1864.683472981267,20.0,10.2,1864,0
2009-01-02 08:00:00,1890.2677782617538,20.0,10.2,1890,0
2009-01-02 09:00:00,1902.37259020108,20.0,10.2,1902,0
2009-01-02 10:00:00,1624.0197206239495,20.0,10.2,1624,0
2009-01-02 11:00:00,1056.4483903738649,20.0,10.2,1056,0
2009-01-02 12:00:00,598.1004099055283,20.0,10.2,598,0
2009-01-02 13:00:00,0.0,20.09324760711523,10.2,0,0
2009-01-02 14:00:00,0.0,20.600069665846746,10.2,0,0
2009-01-02 15:00:00,0.0,21.316576282929557,10.2,0,0
2009-01-02 16:00:00,0.0,23.237668041132533,10.2,0,0
2009-01-02 17:00:00,-957.3645930276444,25.999999999999993,10.2,0,957
2009-01-02 18:00:00,0.0,21.18908510187383,10.2,0,0
2009-01-02 19:00:00,0.0,19.116092802214112,10.2,0,0
2009-01-02 20:00:00,0.0,18.146724117552633,10.2,0,0
2009-01-02 21:00:00,0.0,17.6340407650274,10.2,0,0
2009-01-02 22:00:00,0.0,17.350665797293168,10.2,0,0
2009-01-02 23:00:00,0.0,17.184786192656063,10.2,0,0
2009-01-03 00:00:00,3985.2528213274813,20.000000000000007,10.2,3985,0
2009-01-03 01:00:00,2003.7990403698302,20.0,10.2,2003,0
2009-01-03 02:00:00,2043.8127342861035,19.999999999999996,10.2,2043,0
2009-01-03 03:00:00,2067.084871902812,20.0,10.2,2067,0
2009-01-03 04:00:00,2089.7250354261632,19.999999999999996,10.2,2089,0
2009-01-03 05:00:00,2112.0490929000894,20.000000000000004,10.2,2112,0
2009-01-03 06:00:00,2134.068163982559,20.0,10.2,2134,0
2009-01-03 07:00:00,2155.787370579492,20.0,10.2,2155,0
2009-01-03 08:00:00,2177.2116205819434,20.0,10.2,2177,0
2009-01-03 09:00:00,2185.228311331427,20.0,10.2,2185,0
2009-01-03 10:00:00,1902.8523989719993,19.999999999999996,10.2,1902,0
2009-01-03 11:00:00,1344.9329568987484,19.999999999999996,10.2,1344,0
2009-01-03 12:00:00,896.6610919349522,20.000000000000004,10.2,896,0
2009-01-03 13:00:00,158.5473479707499,20.0,10.2,158,0
2009-01-03 14:00:00,0.0,20.342970511795187,10.2,0,0
2009-01-03 15:00:00,0.0,20.97890192687854,10.2,0,0
2009-01-03 16:00:00,0.0,22.39809794419903,10.2,0,0
2009-01-03 17:00:00,2694.4570743741438,20.0,10.2,2694,0
2009-01-03 18:00:00,0.0,19.044797002275136,10.2,0,0
2009-01-03 19:00:00,0.0,17.96264467848083,10.2,0,0
2009-01-03 20:00:00,0.0,17.418110988401132,10.2,0,0
2009-01-03 21:00:00,0.0,17.12399040929496,10.2,0,0
2009-01-03 22:00:00,0.0,16.95413999948181,10.2,0,0
2009-01-03 23:00:00,0.0,16.84801573581987,10.2,0,0
2009-01-04 00:00:00,4400.820043123047,20.000000000000004,10.2,4400,0
2009-01-04 01:00:00,2177.4916752584713,19.999999999999996,10.2,2177,0
2009-01-04 02:00:00,2217.048937558184,19.999999999999996,10.2,2217,0
2009-01-04 03:00:00,2237.932932983444,20.0,10.2,2237,0
2009-01-04 04:00:00,2258.1879806479837,19.999999999999996,10.2,2258,0
2009-01-04 05:00:00,2278.166447701113,19.999999999999996,10.2,2278,0
2009-01-04 06:00:00,2297.8793562604346,20.0,10.2,2297,0
2009-01-04 07:00:00,2317.331041132709,20.0,10.2,2317,0
2009-01-04 08:00:00,2336.525627968041,20.000000000000004,10.2,2336,0
2009-01-04 09:00:00,2329.2228494635156,20.000000000000004,10.2,2329,0
2009-01-04 10:00:00,0.0,20.17232024377305,10.2,0,0
2009-01-04 11:00:00,0.0,21.776793947336248,10.2,0,0
2009-01-04 12:00:00,0.0,23.213902245252264,10.2,0,0
2009-01-04 13:00:00,0.0,24.378929028483213,10.2,0,0
2009-01-04 14:00:00,0.0,24.89817016080596,10.2,0,0
2009-01-04 15:00:00,0.0,24.54739970792528,10.2,0,0
