,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,1708.1509664227551,20.0,12.0,1708,0
2009-01-01 01:00:00,622.6812966569786,20.0,12.0,622,0
2009-01-01 02:00:00,905.8734507136069,19.999999999999996,10.2,905,0
2009-01-01 03:00:00,864.775024959865,20.0,10.2,864,0
2009-01-01 04:00:00,864.811785065405,20.0,10.2,864,0
2009-01-01 05:00:00,865.2230305309583,20.0,10.2,865,0
2009-01-01 06:00:00,865.6366698740661,19.999999999999996,10.2,865,0
2009-01-01 07:00:00,866.0478877858873,20.0,10.2,866,0
2009-01-01 08:00:00,866.4566345719492,20.0,10.2,866,0
2009-01-01 09:00:00,860.1044907088288,20.0,10.2,860,0
2009-01-01 10:00:00,608.5980996192385,19.999999999999996,10.2,608,0
2009-01-01 11:00:00,0.0,20.158775907212863,10.2,0,0
2009-01-01 12:00:00,0.0,21.44184176841255,10.2,0,0
2009-01-01 13:00:00,0.0,21.658850684350853,10.2,0,0
2009-01-01 14:00:00,0.0,21.718915705492563,10.2,0,0
2009-01-01 15:00:00,0.0,21.39537472094728,10.2,0,0
2009-01-01 16:00:00,0.0,24.73408831427436,10.2,0,0
2009-01-01 17:00:00,-4466.491347057502,26.0,10.2,0,4466
2009-01-01 18:00:00,0.0,20.65301270239864,10.2,0,0
2009-01-01 19:00:00,0.0,18.46476354701585,10.2,0,0
2009-01-01 20:00:00,0.0,17.310976424460513,10.2,0,0
2009-01-01 21:00:00,0.0,16.52499133806934,10.2,0,0
2009-01-01 22:00:00,0.0,15.982158000595634,10.2,0,0
2009-01-01 23:00:00,0.0,15.606605216932008,10.2,0,0
2009-01-02 00:00:00,2512.077561825245,20.0,10.2,2512,0
2009-01-02 01:00:00,857.1212089753765,20.0,10.2,857,0
2009-01-02 02:00:00,870.7926714177081,19.999999999999993,10.2,870,0
2009-01-02 03:00:00,871.342350216714,20.0,10.2,871,0
2009-01-02 04:00:00,871.7215284878565,20.0,10.2,871,0
2009-01-02 05:00:00,872.0961992871798,19.999999999999996,10.2,872,0
2009-01-02 06:00:00,872.4685874166956,20.0,10.2,872,0
2009-01-02 07:00:00,872.8387365365547,19.999999999999993,10.2,872,0
2009-01-02 08:00:00,873.2066605194245,20.0,10.2,873,0
2009-01-02 09:00:00,866.8139025791892,20.000000000000004,10.2,866,0
2009-01-02 10:00:00,711.6678699572999,20.0,10.2,711,0
2009-01-02 11:00:00,422.0177118521728,20.0,10.2,422,0
2009-01-02 12:00:00,183.37378691370253,20.0,10.2,183,0
2009-01-02 13:00:00,0.0,20.494310316229924,10.2,0,0
2009-01-02 14:00:00,0.0,21.71120072070031,10.2,0,0
2009-01-02 15:00:00,0.0,23.792547487285418,10.2,0,0
2009-01-02 16:00:00,-2290.572115394787,26.0,10.2,0,2290
2009-01-02 17:00:00,-7545.527921061037,25.999999999999993,10.2,0,7545
2009-01-02 18:00:00,0.0,19.24668350467305,10.2,0,0
2009-01-02 19:00:00,0.0,17.455901434367966,10.2,0,0
2009-01-02 20:00:00,0.0,16.60436901174335,10.2,0,0
2009-01-02 21:00:00,0.0,16.02725398341076,10.2,0,0
2009-01-02 22:00:00,0.0,15.62836807941068,10.2,0,0
2009-01-02 23:00:00,0.0,15.352029376893832,10.2,0,0
2009-01-03 00:00:00,2612.5752539014425,20.000000000000007,10.2,2612,0
2009-01-03 01:00:00,862.0388192934478,19.999999999999996,10.2,862,0
2009-01-03 02:00:00,876.4508837475771,20.0,10.2,876,0
2009-01-03 03:00:00,876.9764311340862,20.0,10.2,876,0
2009-01-03 04:00:00,877.321872191009,20.0,10.2,877,0
2009-01-03 05:00:00,877.6628786261764,20.0,10.2,877,0
2009-01-03 06:00:00,878.0018029922018,20.000000000000007,10.2,878,0
2009-01-03 07:00:00,878.3386894897285,19.999999999999993,10.2,878,0
2009-01-03 08:00:00,878.6735508063563,19.999999999999996,10.2,878,0
2009-01-03 09:00:00,872.2478655596179,20.000000000000004,10.2,872,0
2009-01-03 10:00:00,717.0664411035256,20.000000000000004,10.2,717,0
2009-01-03 11:00:00,434.3770843857433,20.0,10.2,434,0
2009-01-03 12:00:00,204.91012718633482,20.000000000000007,10.2,204,0
2009-01-03 13:00:00,0.0,20.468976775996374,10.2,0,0
2009-01-03 14:00:00,0.0,21.651722662562555,10.2,0,0
2009-01-03 15:00:00,0.0,23.704925560596998,10.2,0,0
2009-01-03 16:00:00,-1362.3502277984169,26.0,10.2,0,1362
2009-01-03 17:00:00,30.393509601683203,20.0,10.2,30,0
2009-01-03 18:00:00,0.0,19.18836474432382,10.2,0,0
2009-01-03 19:00:00,0.0,17.657413295450592,10.2,0,0
2009-01-03 20:00:00,0.0,16.73202322982064,10.2,0,0
2009-01-03 21:00:00,0.0,16.10182849009098,10.2,0,0
2009-01-03 22:00:00,0.0,15.666401584349419,10.2,0,0
2009-01-03 23:00:00,0.0,15.36496415311511,10.2,0,0
2009-01-04 00:00:00,2614.8864392045484,20.0,10.2,2614,0
2009-01-04 01:00:00,869.1002325152801,20.0,10.2,869,0
2009-01-04 02:00:00,883.4299264281224,19.999999999999996,10.2,883,0
2009-01-04 03:00:00,883.9130070199859,20.0,10.2,883,0
2009-01-04 04:00:00,884.216742392568,20.0,10.2,884,0
2009-01-04 05:00:00,884.5163005995618,20.0,10.2,884,0
2009-01-04 06:00:00,884.8140259930949,20.000000000000007,10.2,884,0
2009-01-04 07:00:00,885.1099611847675,19.999999999999993,10.2,885,0
2009-01-04 08:00:00,885.4041173721006,20.0,10.2,885,0
2009-01-04 09:00:00,872.1748279583556,20.0,10.2,872,0
2009-01-04 10:00:00,0.0,21.397444333641474,10.2,0,0
2009-01-04 11:00:00,0.0,25.32158588337513,10.2,0,0
2009-01-04 12:00:00,-2236.077098463718,26.000000000000007,10.2,0,2236
2009-01-04 13:00:00,-2627.8861270623165,25.999999999999993,10.2,0,2627
2009-01-04 14:00:00,-2387.222537891024,26.000000000000007,10.2,0,2387
2009-01-04 15:00:00,-1618.3733247595135,26.0,10.2,0,1618
2009-01-04 16:00:00,0.0,25.40893303672662,10.2,0,0
2009-01-04 17:00:00,0.0,20.655247172380466,10.2,0,0
2009-01-04 18:00:00,0.0,19.48984947625077,10.2,0,0
2009-01-04 19:00:00,0.0,17.87133217067298,10.2,0,0
2009-01-04 20:00:00,0.0,16.87935982254695,10.2,0,0
2009-01-04 21:00:00,0.0,16.20014403823083,10.2,0,0
2009-01-04 22:00:00,0.0,15.730902194893108,10.2,0,0
2009-01-04 23:00:00,0.0,15.406188425108274,10.2,0,0
2009-01-05 00:00:00,2601.278916213054,20.0,10.2,2601,0
2009-01-05 01:00:00,870.93214995201,19.999999999999993,10.2,870,0
2009-01-05 02:00:00,885.1258323622394,20.0,10.2,885,0
2009-01-05 03:00:00,885.5971139974733,20.000000000000004,10.2,885,0
2009-01-05 04:00:00,885.8907040659946,20.0,10.2,885,0
2009-01-05 05:00:00,886.1801990525053,20.000000000000004,10.2,886,0
2009-01-05 06:00:00,886.4679220075071,20.0,10.2,886,0
2009-01-05 07:00:00,886.7539148937319,20.000000000000007,10.2,886,0
2009-01-05 08:00:00,887.0381885432844,20.000000000000004,10.2,887,0
2009-01-05 09:00:00,880.5620136599377,20.0,10.2,880,0
2009-01-05 10:00:00,628.9191428206548,19.999999999999996,10.2,628,0
2009-01-05 11:00:00,0.0,20.115384166224636,10.2,0,0
2009-01-05 12:00:00,0.0,21.360331075481547,10.2,0,0
2009-01-05 13:00:00,0.0,21.545429667005635,10.2,0,0
2009-01-05 14:00:00,0.0,21.61719712459496,10.2,0,0
2009-01-05 15:00:00,0.0,21.273321020154057,10.2,0,0
2009-01-05 16:00:00,0.0,24.16171233004222,10.2,0,0
2009-01-05 17:00:00,-4940.3073782878655,26.0,10.2,0,4940
2009-01-05 18:00:00,0.0,20.658435839946975,10.2,0,0
2009-01-05 19:00:00,0.0,18.35483262004448,10.2,0,0
2009-01-05 20:00:00,0.0,17.197768248303753,10.2,0,0
2009-01-05 21:00:00,0.0,16.41130016739013,10.2,0,0
2009-01-05 22:00:00,0.0,15.868362393518156,10.2,0,0
2009-01-05 23:00:00,0.0,15.492931702086647,10.2,0,0
2009-01-06 00:00:00,2573.289376318904,20.0,10.2,2573,0
2009-01-06 01:00:00,875.4207653072721,19.999999999999996,10.2,875,0
2009-01-06 02:00:00,889.324375717803,20.0,10.2,889,0
2009-01-06 03:00:00,889.7670417881286,20.0,10.2,889,0
2009-01-06 04:00:00,890.0355195491223,20.0,10.2,890,0
2009-01-06 05:00:00,890.3000975906479,19.999999999999996,10.2,890,0
2009-01-06 06:00:00,890.5630539925484,20.0,10.2,890,0
2009-01-06 07:00:00,890.8244292167939,20.000000000000004,10.2,890,0
2009-01-06 08:00:00,891.0842331922106,20.0,10.2,891,0
2009-01-06 09:00:00,877.8202961838487,19.999999999999993,10.2,877,0
2009-01-06 10:00:00,0.0,22.725029547724624,10.2,0,0
2009-01-06 11:00:00,-2221.9367142036212,26.000000000000007,10.2,0,2221
2009-01-06 12:00:00,-4693.516252117044,26.0,10.2,0,4693
2009-01-06 13:00:00,-4893.894221594242,26.000000000000007,10.2,0,4893
2009-01-06 14:00:00,-4451.400862066515,26.0,10.2,0,4451
2009-01-06 15:00:00,-3514.8680574312298,26.0,10.2,0,3514
2009-01-06 16:00:00,-2222.29140378224,26.0,10.2,0,2222
2009-01-06 17:00:00,0.0,22.41242128205802,10.2,0,0
2009-01-06 18:00:00,0.0,20.90884940338534,10.2,0,0
2009-01-06 19:00:00,0.0,18.66362282783485,10.2,0,0
2009-01-06 20:00:00,0.0,17.411376964555046,10.2,0,0
2009-01-06 21:00:00,0.0,16.562576468258875,10.2,0,0
2009-01-06 22:00:00,0.0,15.97674474175908,10.2,0,0
2009-01-06 23:00:00,0.0,15.571746337527859,10.2,0,0
2009-01-07 00:00:00,2541.7514868477833,20.0,10.2,2541,0
2009-01-07 01:00:00,873.4797756023371,19.999999999999993,10.2,873,0
2009-01-07 02:00:00,887.1566628032941,20.0,10.2,887,0
2009-01-07 03:00:00,887.6093009839744,20.000000000000007,10.2,887,0
2009-01-07 04:00:00,887.8907091036888,20.0,10.2,887,0
2009-01-07 05:00:00,888.1681800000702,20.0,10.2,888,0
2009-01-07 06:00:00,888.4439523002476,19.999999999999996,10.2,888,0
2009-01-07 07:00:00,888.7180663882623,20.0,10.2,888,0
2009-01-07 08:00:00,888.9905326485726,20.0,10.2,888,0
2009-01-07 09:00:00,868.9709938381051,20.0,10.2,868,0
2009-01-07 10:00:00,0.0,25.06828780057276,10.2,0,0
2009-01-07 11:00:00,-4806.846616945595,25.999999999999996,10.2,0,4806
2009-01-07 12:00:00,-5731.811855181262,26.0,10.2,0,5731
2009-01-07 13:00:00,-5840.856280995934,26.0,10.2,0,5840
2009-01-07 14:00:00,-5327.901823691243,26.0,10.2,0,5327
2009-01-07 15:00:00,-4283.516791367213,26.0,10.2,0,4283
2009-01-07 16:00:00,-2806.509112441916,25.999999999999996,10.2,0,2806
2009-01-07 17:00:00,0.0,24.709980903502412,10.2,0,0
2009-01-07 18:00:00,0.0,22.196092802438166,10.2,0,0
2009-01-07 19:00:00,0.0,19.4770099925152,10.2,0,0
2009-01-07 20:00:00,0.0,17.977637257191773,10.2,0,0
2009-01-07 21:00:00,0.0,16.960221940028077,10.2,0,0
2009-01-07 22:00:00,0.0,16.25823850739667,10.2,0,0
2009-01-07 23:00:00,0.0,15.773191638956707,10.2,0,0
2009-01-08 00:00:00,2462.7975809427335,20.0,10.2,2462,0
2009-01-08 01:00:00,870.1500275353876,20.000000000000004,10.2,870,0
2009-01-08 02:00:00,883.2374416208698,19.999999999999996,10.2,883,0
2009-01-08 03:00:00,883.7058190796325,20.0,10.2,883,0
2009-01-08 04:00:00,884.0105884988104,20.0,10.2,884,0
2009-01-08 05:00:00,884.3113831069074,20.0,10.2,884,0
2009-01-08 06:00:00,884.6103403109745,20.0,10.2,884,0
2009-01-08 07:00:00,884.9074999474293,20.0,10.2,884,0
2009-01-08 08:00:00,885.202873219401,20.000000000000007,10.2,885,0
2009-01-08 09:00:00,865.205556305307,20.0,10.2,865,0
2009-01-08 10:00:00,0.0,24.97342174916296,10.2,0,0
2009-01-08 11:00:00,-4683.155909961449,26.000000000000004,10.2,0,4683
2009-01-08 12:00:00,-5614.036904306251,25.999999999999993,10.2,0,5614
2009-01-08 13:00:00,-5768.093972172945,26.0,10.2,0,5768
2009-01-08 14:00:00,-5243.833743927976,26.0,10.2,0,5243
2009-01-08 15:00:00,-4233.306225445381,26.0,10.2,0,4233
2009-01-08 16:00:00,-2780.1978437945854,26.0,10.2,0,2780
2009-01-08 17:00:00,0.0,24.625441206953465,10.2,0,0
2009-01-08 18:00:00,0.0,22.151409221760144,10.2,0,0
2009-01-08 19:00:00,0.0,19.47008741945875,10.2,0,0
2009-01-08 20:00:00,0.0,17.976508930755084,10.2,0,0
2009-01-08 21:00:00,0.0,16.965717972246146,10.2,0,0
2009-01-08 22:00:00,0.0,16.268317938268588,10.2,0,0
2009-01-08 23:00:00,0.0,15.78639509838259,10.2,0,0
2009-01-09 00:00:00,2454.527150278458,19.999999999999996,10.2,2454,0
2009-01-09 01:00:00,866.8805637662941,20.000000000000007,10.2,866,0
2009-01-09 02:00:00,879.948013517241,20.0,10.2,879,0
