,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,1429.9314072755942,19.999999999999996,12.0,1429,0
2009-01-01 01:00:00,503.34840276730137,20.0,12.0,503,0
2009-01-01 02:00:00,868.4289533388153,19.999999999999996,10.2,868,0
2009-01-01 03:00:00,804.1675495897744,20.0,10.2,804,0
2009-01-01 04:00:00,803.6516097889497,19.999999999999996,10.2,803,0
2009-01-01 05:00:00,803.755913708525,20.0,10.2,803,0
2009-01-01 06:00:00,803.868317896465,20.0,10.2,803,0
2009-01-01 07:00:00,803.9802619010707,19.999999999999996,10.2,803,0
2009-01-01 08:00:00,804.0916240057344,19.999999999999993,10.2,804,0
2009-01-01 09:00:00,795.9956943533093,19.999999999999996,10.2,795,0
2009-01-01 10:00:00,490.95880495844574,20.0,10.2,490,0
2009-01-01 11:00:00,0.0,20.42857008442371,10.2,0,0
2009-01-01 12:00:00,0.0,21.659325594539137,10.2,0,0
2009-01-01 13:00:00,0.0,21.892990888149296,10.2,0,0
2009-01-01 14:00:00,0.0,22.019663428964797,10.2,0,0
2009-01-01 15:00:00,0.0,21.817087385424593,10.2,0,0
2009-01-01 16:00:00,0.0,24.78158536931505,10.2,0,0
2009-01-01 17:00:00,-5384.169739838223,26.0,10.2,0,5384
2009-01-01 18:00:00,0.0,20.74621316529864,10.2,0,0
2009-01-01 19:00:00,0.0,19.047963218019106,10.2,0,0
2009-01-01 20:00:00,0.0,18.197955040639677,10.2,0,0
2009-01-01 21:00:00,0.0,17.563254465206597,10.2,0,0
2009-01-01 22:00:00,0.0,17.0791870607233,10.2,0,0
2009-01-01 23:00:00,0.0,16.70969857652244,10.2,0,0
2009-01-02 00:00:00,2734.0746193902874,20.0,10.2,2734,0
2009-01-02 01:00:00,786.8957083132597,19.999999999999996,10.2,786,0
2009-01-02 02:00:00,805.0868608497183,20.0,10.2,805,0
2009-01-02 03:00:00,805.442280738625,20.0,10.2,805,0
2009-01-02 04:00:00,805.549655784763,20.0,10.2,805,0
2009-01-02 05:00:00,805.6528879839798,20.0,10.2,805,0
2009-01-02 06:00:00,805.7555283084287,20.0,10.2,805,0
2009-01-02 07:00:00,805.8576325595932,20.0,10.2,805,0
2009-01-02 08:00:00,805.9592043315799,20.0,10.2,805,0
2009-01-02 09:00:00,797.853490535999,20.0,10.2,797,0
2009-01-02 10:00:00,609.8808100074909,20.0,10.2,609,0
2009-01-02 11:00:00,275.77196320942255,20.000000000000004,10.2,275,0
2009-01-02 12:00:00,22.527871700943365,19.999999999999996,10.2,22,0
2009-01-02 13:00:00,0.0,20.64126464899781,10.2,0,0
2009-01-02 14:00:00,0.0,21.810971858971833,10.2,0,0
2009-01-02 15:00:00,0.0,23.690387118122807,10.2,0,0
2009-01-02 16:00:00,-2565.702991525879,26.0,10.2,0,2565
2009-01-02 17:00:00,-9023.255829541651,25.999999999999996,10.2,0,9023
2009-01-02 18:00:00,0.0,19.04339823813177,10.2,0,0
2009-01-02 19:00:00,0.0,17.70746820090335,10.2,0,0
2009-01-02 20:00:00,0.0,17.172198189707288,10.2,0,0
2009-01-02 21:00:00,0.0,16.77850121038952,10.2,0,0
2009-01-02 22:00:00,0.0,16.47829934879824,10.2,0,0
2009-01-02 23:00:00,0.0,16.249071303155198,10.2,0,0
2009-01-03 00:00:00,3004.7180861009538,20.0,10.2,3004,0
2009-01-03 01:00:00,785.9960097452382,20.0,10.2,785,0
2009-01-03 02:00:00,806.7253558362892,20.0,10.2,806,0
2009-01-03 03:00:00,807.1074227969568,20.0,10.2,807,0
2009-01-03 04:00:00,807.2066266778121,20.000000000000007,10.2,807,0
2009-01-03 05:00:00,807.301225542986,20.0,10.2,807,0
2009-01-03 06:00:00,807.3952700139356,20.0,10.2,807,0
2009-01-03 07:00:00,807.488823124124,20.0,10.2,807,0
2009-01-03 08:00:00,807.5818883470151,20.0,10.2,807,0
2009-01-03 09:00:00,799.4676348391579,20.0,10.2,799,0
2009-01-03 10:00:00,611.4832106530366,20.0,10.2,611,0
2009-01-03 11:00:00,285.8601975088965,20.0,10.2,285,0
2009-01-03 12:00:00,43.075448265005406,20.0,10.2,43,0
2009-01-03 13:00:00,0.0,20.62860095212156,10.2,0,0
2009-01-03 14:00:00,0.0,21.773311940916265,10.2,0,0
2009-01-03 15:00:00,0.0,23.630690804776787,10.2,0,0
2009-01-03 16:00:00,-1435.7248682205313,26.0,10.2,0,1435
2009-01-03 17:00:00,0.0,20.58568130332948,10.2,0,0
2009-01-03 18:00:00,0.0,20.119066092009774,10.2,0,0
2009-01-03 19:00:00,0.0,18.846106010367485,10.2,0,0
2009-01-03 20:00:00,0.0,18.04214711987259,10.2,0,0
2009-01-03 21:00:00,0.0,17.43972424764681,10.2,0,0
2009-01-03 22:00:00,0.0,16.980229268413918,10.2,0,0
2009-01-03 23:00:00,0.0,16.629506420758837,10.2,0,0
2009-01-04 00:00:00,2784.4750192825554,20.0,10.2,2784,0
2009-01-04 01:00:00,789.9735872956174,19.999999999999993,10.2,789,0
2009-01-04 02:00:00,808.5893164330733,20.0,10.2,808,0
2009-01-04 03:00:00,808.9325915105821,20.0,10.2,808,0
2009-01-04 04:00:00,809.0218539374413,20.0,10.2,809,0
2009-01-04 05:00:00,809.1069801884636,19.999999999999996,10.2,809,0
2009-01-04 06:00:00,809.1916076744918,19.999999999999993,10.2,809,0
2009-01-04 07:00:00,809.2757930031026,20.0,10.2,809,0
2009-01-04 08:00:00,809.359539298198,20.0,10.2,809,0
2009-01-04 09:00:00,793.0235443598303,20.0,10.2,793,0
2009-01-04 10:00:00,0.0,21.568478858868673,10.2,0,0
2009-01-04 11:00:00,0.0,25.084228768021195,10.2,0,0
2009-01-04 12:00:00,-2525.5232442704605,25.999999999999993,10.2,0,2525
2009-01-04 13:00:00,-3034.005955858649,26.0,10.2,0,3034
2009-01-04 14:00:00,-2668.718156172489,25.999999999999996,10.2,0,2668
2009-01-04 15:00:00,-1735.1407385620785,25.999999999999996,10.2,0,1735
2009-01-04 16:00:00,0.0,25.280765507361274,10.2,0,0
2009-01-04 17:00:00,0.0,21.303602840287468,10.2,0,0
2009-01-04 18:00:00,0.0,20.525732823305503,10.2,0,0
2009-01-04 19:00:00,0.0,19.171527496497,10.2,0,0
2009-01-04 20:00:00,0.0,18.293483099374264,10.2,0,0
2009-01-04 21:00:00,0.0,17.630646196265324,10.2,0,0
2009-01-04 22:00:00,0.0,17.12498339296499,10.2,0,0
2009-01-04 23:00:00,0.0,16.739047179394813,10.2,0,0
2009-01-05 00:00:00,2721.193252129085,20.0,10.2,2721,0
2009-01-05 01:00:00,791.2509078546246,20.0,10.2,791,0
2009-01-05 02:00:00,809.2573452961648,20.0,10.2,809,0
2009-01-05 03:00:00,809.5887656852349,20.0,10.2,809,0
2009-01-05 04:00:00,809.6744843146307,20.0,10.2,809,0
2009-01-05 05:00:00,809.7562053205692,20.0,10.2,809,0
2009-01-05 06:00:00,809.8374471135763,19.999999999999996,10.2,809,0
2009-01-05 07:00:00,809.9182644325155,19.999999999999996,10.2,809,0
2009-01-05 08:00:00,809.9986602822983,20.0,10.2,809,0
2009-01-05 09:00:00,801.8715514663411,20.0,10.2,801,0
2009-01-05 10:00:00,496.78754615027054,20.0,10.2,496,0
2009-01-05 11:00:00,0.0,20.415783452990887,10.2,0,0
