,Q_HC,T_op,T_ext,Q_H,Q_C
2009-02-01 00:00:00,0.0,20.135340861213095,16.66,0,0
2009-02-01 01:00:00,0.0,19.469672282933892,3.71,0,0
2009-02-01 02:00:00,0.0,19.032654021213244,2.98,0,0
2009-02-01 03:00:00,0.0,18.607469245320665,2.25,0,0
2009-02-01 04:00:00,0.0,18.181010019191095,1.51,0,0
2009-02-01 05:00:00,2194.6070283837125,19.999999999999996,0.78,2194,0
2009-02-01 06:00:00,1776.797036519659,20.0,0.05,1776,0
2009-02-01 07:00:00,1877.3409596074416,20.000000000000004,-0.69,1877,0
2009-02-01 08:00:00,1997.967089627674,20.000000000000004,-1.42,1997,0
2009-02-01 09:00:00,362.5043554030107,20.0,1.6,362,0
2009-02-01 10:00:00,0.0,21.20975109754689,4.54,0,0
2009-02-01 11:00:00,0.0,23.068209221664844,7.34,0,0
2009-02-01 12:00:00,0.0,25.103721911524467,8.51,0,0
2009-02-01 13:00:00,-673.5531616639423,26.0,8.81,0,673
2009-02-01 14:00:00,-1732.266367904063,26.000000000000007,8.64,0,1732
2009-02-01 15:00:00,-1718.2437828103045,26.0,7.97,0,1718
2009-02-01 16:00:00,0.0,25.661619367519233,6.72,0,0
2009-02-01 17:00:00,0.0,24.863201364399075,4.56,0,0
2009-02-01 18:00:00,0.0,23.798476297834988,2.1,0,0
2009-02-01 19:00:00,0.0,22.901003709619264,1.22,0,0
2009-02-01 20:00:00,0.0,22.136819080513213,0.98,0,0
2009-02-01 21:00:00,0.0,21.432446545543733,0.45,0,0
2009-02-01 22:00:00,0.0,20.77500358383493,-0.05,0,0
2009-02-01 23:00:00,0.0,20.13664035971721,-0.72,0,0
2009-02-02 00:00:00,0.0,19.497542313073048,-1.59,0,0
2009-02-02 01:00:00,0.0,18.86889312003725,-2.35,0,0
2009-02-02 02:00:00,0.0,18.27082448550709,-2.81,0,0
2009-02-02 03:00:00,0.0,17.70600267720689,-3.1,0,0
2009-02-02 04:00:00,0.0,17.166811368984682,-3.37,0,0
2009-02-02 05:00:00,3273.4301330199346,20.0,-3.68,3273,0
2009-02-02 06:00:00,2522.821396453842,20.0,-4.15,2522,0
2009-02-02 07:00:00,2565.0516710279244,20.0,-4.45,2565,0
2009-02-02 08:00:00,2580.8583696653113,20.0,-4.07,2580,0
2009-02-02 09:00:00,1044.449542722344,20.000000000000004,-1.86,1044,0
2009-02-02 10:00:00,0.0,20.728975252604453,2.35,0,0
2009-02-02 11:00:00,0.0,22.46358584191329,4.18,0,0
2009-02-02 12:00:00,0.0,24.33740551643667,5.09,0,0
2009-02-02 13:00:00,-46.665904914121356,25.999999999999993,5.7,0,46
2009-02-02 14:00:00,-1220.790328004635,25.999999999999996,5.92,0,1220
2009-02-02 15:00:00,-1157.7863964494345,26.000000000000004,5.81,0,1157
2009-02-02 16:00:00,-824.6364690902712,26.0,5.21,0,824
2009-02-02 17:00:00,0.0,25.140715810672333,3.9,0,0
2009-02-02 18:00:00,0.0,24.027321976295337,1.8,0,0
