,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,589.2034128084501,20.0,12.0,589,0
2009-01-01 01:00:00,589.3254016233466,20.000000000000004,12.0,589,0
2009-01-01 02:00:00,831.9774540446276,20.000000000000004,10.2,831,0
2009-01-01 03:00:00,798.6290196788133,20.0,10.2,798,0
2009-01-01 04:00:00,798.4254366358259,20.0,10.2,798,0
2009-01-01 05:00:00,798.5419524079808,20.0,10.2,798,0
2009-01-01 06:00:00,798.662285040102,20.0,10.2,798,0
2009-01-01 07:00:00,798.7820060447465,20.0,10.2,798,0
2009-01-01 08:00:00,798.9010546014812,20.000000000000007,10.2,798,0
2009-01-01 09:00:00,792.3600141053146,19.999999999999993,10.2,792,0
2009-01-01 10:00:00,544.0773870197776,20.0,10.2,544,0
2009-01-01 11:00:00,0.0,20.33474761712415,10.2,0,0
2009-01-01 12:00:00,0.0,22.011518653528757,10.2,0,0
2009-01-01 13:00:00,0.0,22.422381814823183,10.2,0,0
2009-01-01 14:00:00,0.0,22.599365093374274,10.2,0,0
2009-01-01 15:00:00,0.0,22.288857979908883,10.2,0,0
2009-01-01 16:00:00,0.0,26.339837497721305,10.2,0,0
2009-01-01 17:00:00,-4942.428766596212,27.000000000000007,10.2,0,4942
2009-01-01 18:00:00,0.0,21.241021066462345,10.2,0,0
2009-01-01 19:00:00,594.5130522778111,20.0,10.2,594,0
2009-01-01 20:00:00,807.0133849929599,20.0,10.2,807,0
2009-01-01 21:00:00,799.5522038429234,20.000000000000007,10.2,799,0
2009-01-01 22:00:00,799.5612322875182,20.0,10.2,799,0
2009-01-01 23:00:00,799.67434514656,19.999999999999993,10.2,799,0
2009-01-02 00:00:00,799.7883510661976,20.0,10.2,799,0
2009-01-02 01:00:00,799.9017386674007,20.0,10.2,799,0
2009-01-02 02:00:00,800.0144888203773,20.0,10.2,800,0
2009-01-02 03:00:00,800.1266047674035,19.999999999999996,10.2,800,0
2009-01-02 04:00:00,800.2380900705881,20.0,10.2,800,0
2009-01-02 05:00:00,800.3489482771763,20.0,10.2,800,0
2009-01-02 06:00:00,800.4591829145401,20.000000000000004,10.2,800,0
2009-01-02 07:00:00,800.5687974902079,20.0,10.2,800,0
2009-01-02 08:00:00,800.6777954919877,20.0,10.2,800,0
2009-01-02 09:00:00,794.1267244247307,20.0,10.2,794,0
2009-01-02 10:00:00,640.8423039852812,20.0,10.2,640,0
2009-01-02 11:00:00,351.77299476961406,19.999999999999993,10.2,351,0
2009-01-02 12:00:00,108.57205801013507,20.0,10.2,108,0
2009-01-02 13:00:00,0.0,20.76733747964191,10.2,0,0
2009-01-02 14:00:00,0.0,22.382083114788937,10.2,0,0
2009-01-02 15:00:00,0.0,25.039912739037987,10.2,0,0
2009-01-02 16:00:00,-2692.5814283275845,27.000000000000004,10.2,0,2692
2009-01-02 17:00:00,-7816.321071736065,27.0,10.2,0,7816
2009-01-02 18:00:00,125.93840793590836,19.999999999999996,10.2,125,0
2009-01-02 19:00:00,1002.5398987980171,19.999999999999993,10.2,1002,0
2009-01-02 20:00:00,805.1070602632162,19.999999999999996,10.2,805,0
